"Date","series","OPEN","HIGH","LOW","PREV.CLOSE","ltp","close","vwap","52W H","52W L","VOLUME","VALUE","No of trades"
"19-Feb-2018","EQ","313.80","313.80","293.05","312.40","303.20","302.70","301.83","315.70","175.15",6238413,"1,882,909,950.80",51245
"16-Feb-2018","EQ","310.10","313.75","306.35","307.80","312.45","312.40","310.54","315.70","175.15",5742059,"1,783,118,515.85",37650
"15-Feb-2018","EQ","311.25","314.25","305.55","309.55","308.00","307.80","310.38","315.70","175.15",3695342,"1,146,969,546.40",34372
"14-Feb-2018","EQ","313.80","314.45","308.15","310.75","308.80","309.55","311.44","315.70","175.15",3992497,"1,243,420,837.05",43609
"12-Feb-2018","EQ","312.00","315.70","309.25","309.35","311.30","310.75","312.64","315.70","175.15",4120075,"1,288,115,437.85",35306
"09-Feb-2018","EQ","295.75","311.85","295.15","304.20","308.95","309.35","305.53","314.35","175.15",6726146,"2,055,016,674.90",60398
"08-Feb-2018","EQ","290.00","308.40","290.00","290.00","306.20","304.20","297.65","314.35","175.15",8028713,"2,389,707,677.70",53031
"07-Feb-2018","EQ","287.90","294.40","284.35","283.20","289.70","290.00","290.20","314.35","175.15",9691897,"2,812,623,279.40",69375
"06-Feb-2018","EQ","278.85","289.30","265.60","291.25","281.30","283.20","282.05","314.35","175.15",8006195,"2,258,175,079.95",89848
"05-Feb-2018","EQ","295.00","299.95","282.85","299.00","293.10","291.25","292.27","314.35","175.15",6863987,"2,006,171,367.60",59719
"02-Feb-2018","EQ","298.75","314.35","293.25","302.65","298.30","299.00","303.53","314.35","175.15",12354843,"3,750,082,359.80",96535
"01-Feb-2018","EQ","296.00","306.80","285.40","289.95","303.00","302.65","296.08","306.80","175.15",8031105,"2,377,827,332.85",63130
"31-Jan-2018","EQ","289.00","294.00","281.10","289.10","293.00","289.95","287.98","300.45","175.15",6604621,"1,901,983,612.70",57807
"30-Jan-2018","EQ","292.90","292.90","287.75","293.45","289.75","289.10","289.69","300.45","175.15",2152791,"623,639,043.05",15501
"29-Jan-2018","EQ","291.00","300.45","291.00","290.80","292.95","293.45","296.09","300.45","175.15",4673841,"1,383,859,864.45",31259
"25-Jan-2018","EQ","292.35","297.00","288.10","288.65","289.75","290.80","291.62","299.30","175.15",7330584,"2,137,717,090.70",35101
"24-Jan-2018","EQ","292.35","296.00","287.05","294.05","288.40","288.65","290.77","299.30","175.15",4037279,"1,173,926,123.45",40978
"23-Jan-2018","EQ","279.35","299.30","277.05","278.65","293.90","294.05","294.19","299.30","175.15",8672380,"2,551,334,552.95",69486
"22-Jan-2018","EQ","283.00","283.50","276.60","282.10","278.05","278.65","278.62","292.90","175.15",2143377,"597,187,610.25",17261
"19-Jan-2018","EQ","281.10","283.10","273.05","279.80","282.85","282.10","279.65","292.90","175.15",3291487,"920,452,317.40",28412
"18-Jan-2018","EQ","285.80","289.00","275.35","285.05","279.65","279.80","281.22","292.90","175.15",8128594,"2,285,910,045.00",39852
"17-Jan-2018","EQ","282.10","287.00","279.50","281.20","284.75","285.05","283.90","292.90","175.15",3574084,"1,014,676,900.15",25363
"16-Jan-2018","EQ","286.40","287.40","276.30","285.00","284.00","281.20","281.52","292.90","175.15",3107547,"874,833,175.90",25105
"15-Jan-2018","EQ","287.60","292.90","283.75","286.80","286.00","285.00","289.41","292.90","175.15",3602106,"1,042,485,059.50",24654
"12-Jan-2018","EQ","283.10","289.75","282.75","282.55","286.85","286.80","286.19","289.90","173.60",5118636,"1,464,922,683.60",33944
"11-Jan-2018","EQ","283.70","285.75","282.00","282.80","282.00","282.55","283.55","289.90","173.60",1757575,"498,366,424.55",17654
"10-Jan-2018","EQ","283.20","285.00","278.45","284.00","282.85","282.80","281.76","289.90","173.60",2748652,"774,453,817.90",27457
"09-Jan-2018","EQ","286.25","289.50","281.00","286.00","283.50","284.00","284.56","289.90","173.60",2281715,"649,294,612.20",21738
"08-Jan-2018","EQ","286.10","289.50","283.10","285.10","285.75","286.00","286.14","289.90","173.60",2686737,"768,795,395.25",26310
"05-Jan-2018","EQ","279.25","289.90","278.65","277.15","285.05","285.10","285.51","1,653.60","160.60",8325201,"2,376,895,245.05",63600
"04-Jan-2018","EQ","270.75","281.90","269.50","268.70","277.55","277.15","276.22","1,653.60","160.60",6281682,"1,735,099,579.10",46138
"03-Jan-2018","EQ","267.85","272.25","266.35","264.55","269.20","268.70","269.36","1,653.60","160.60",3279293,"883,297,270.00",32136
"02-Jan-2018","EQ","267.00","268.00","261.70","265.80","264.40","264.55","264.35","1,653.60","160.60",2277139,"601,964,407.75",15580
"01-Jan-2018","EQ","269.50","271.70","264.35","269.80","266.00","265.80","268.86","1,653.60","160.60",1261616,"339,197,686.05",10977
"29-Dec-2017","EQ","271.40","273.80","266.00","271.30","270.45","269.80","269.68","1,653.60","160.60",2003783,"540,385,858.40",18806
"28-Dec-2017","EQ","266.70","275.60","266.15","265.45","271.15","271.30","272.39","1,653.60","160.60",4716301,"1,284,694,410.85",29356
"27-Dec-2017","EQ","266.90","269.40","263.40","267.40","264.95","265.45","267.15","1,653.60","160.60",1503466,"401,645,408.10",16025
"26-Dec-2017","EQ","264.00","268.60","264.00","264.50","267.05","267.40","266.89","1,653.60","160.60",2428477,"648,124,935.30",25272
"22-Dec-2017","EQ","265.50","266.50","262.75","265.30","264.30","264.50","264.42","1,653.60","160.60",1765864,"466,929,554.40",20759
"21-Dec-2017","EQ","262.25","266.00","261.10","262.10","265.00","265.30","263.89","1,653.60","160.60",1328407,"350,555,847.45",13488
"20-Dec-2017","EQ","259.20","264.50","256.65","256.40","262.25","262.10","260.34","1,653.60","160.60",2462944,"641,196,211.45",28294
"19-Dec-2017","EQ","254.25","259.00","253.00","253.95","258.90","256.40","254.95","1,653.60","160.60",2145809,"547,082,853.85",19069
"18-Dec-2017","EQ","248.00","258.70","243.40","250.90","253.55","253.95","254.18","1,653.60","160.60",2938065,"746,787,953.15",21896
"15-Dec-2017","EQ","248.00","252.35","247.15","242.45","251.30","250.90","250.63","1,655.55","160.60",3492426,"875,297,398.45",47890
"14-Dec-2017","EQ","245.00","247.80","237.60","244.00","243.00","242.45","242.69","1,655.55","160.60",3263839,"792,109,866.35",27784
"13-Dec-2017","EQ","252.00","253.20","240.10","249.95","244.15","244.00","247.34","1,655.55","160.60",2393737,"592,068,370.15",19321
"12-Dec-2017","EQ","250.95","254.85","249.00","251.50","250.60","249.95","252.00","1,655.55","160.60",2208589,"556,563,323.10",34372
"11-Dec-2017","EQ","253.40","253.50","248.65","252.45","250.85","251.50","250.95","1,655.55","160.60",2248099,"564,156,773.10",21545
"08-Dec-2017","EQ","252.50","257.35","249.20","250.85","251.50","252.45","254.07","1,678.00","160.60",2869536,"729,058,334.30",30812
"07-Dec-2017","EQ","243.00","252.00","242.80","242.15","251.95","250.85","248.16","1,678.00","160.60",1934627,"480,088,716.50",19659
"06-Dec-2017","EQ","246.00","246.85","241.15","247.70","242.15","242.15","243.39","1,678.00","160.60",3872984,"942,651,084.35",35140
"05-Dec-2017","EQ","250.80","251.35","244.50","251.85","249.00","247.70","247.58","1,678.00","160.60",2253438,"557,907,526.10",22582
"04-Dec-2017","EQ","253.50","254.45","249.60","252.05","251.90","251.85","252.49","1,678.00","160.60",1309523,"330,646,581.25",11987
"01-Dec-2017","EQ","257.70","257.70","249.00","254.85","252.15","252.05","253.51","1,735.55","160.60",3410360,"864,563,884.45",21910
"30-Nov-2017","EQ","254.30","257.35","254.00","255.25","254.80","254.85","255.17","1,735.55","160.60",4677214,"1,193,505,717.15",40774
"29-Nov-2017","EQ","256.50","257.95","254.50","255.65","255.20","255.25","256.12","1,735.55","160.60",1852596,"474,486,982.50",12818
"28-Nov-2017","EQ","259.00","261.30","254.50","258.90","255.10","255.65","258.12","1,735.55","160.60",3948068,"1,019,069,047.15",29275
"27-Nov-2017","EQ","263.50","265.40","258.30","265.20","258.90","258.90","260.53","1,735.55","160.60",3340622,"870,342,265.45",22681
"24-Nov-2017","EQ","267.90","267.90","263.30","266.85","265.80","265.20","265.76","1,735.55","160.60",1325725,"352,318,635.00",14718
"23-Nov-2017","EQ","269.30","273.30","265.55","268.55","266.70","266.85","268.85","1,735.55","160.60",2649055,"712,190,768.85",15957
"22-Nov-2017","EQ","270.20","270.30","265.00","268.85","269.40","268.55","267.23","1,735.55","160.60",1320466,"352,863,136.95",16934
"21-Nov-2017","EQ","266.95","270.00","265.80","265.95","268.60","268.85","268.39","1,735.55","160.60",1814757,"487,063,532.25",17890
"20-Nov-2017","EQ","267.95","267.95","262.55","266.60","266.75","265.95","265.08","1,735.55","160.60",1589735,"421,404,545.95",18654
"17-Nov-2017","EQ","260.35","267.80","260.10","258.65","267.50","266.60","264.77","1,735.55","160.60",2241746,"593,544,107.40",16891
"16-Nov-2017","EQ","258.00","259.75","253.10","255.45","258.55","258.65","256.75","1,735.55","160.60",1768063,"453,945,524.75",19680
"15-Nov-2017","EQ","264.10","264.70","253.75","266.55","256.00","255.45","259.63","1,735.55","160.60",3199737,"830,758,619.40",24004
"14-Nov-2017","EQ","263.40","267.25","263.15","263.85","266.85","266.55","265.82","1,735.55","160.60",1464097,"389,185,132.90",14196
"13-Nov-2017","EQ","270.80","271.95","262.05","270.80","263.00","263.85","266.32","1,735.55","160.60",2186042,"582,195,450.95",42939
"10-Nov-2017","EQ","262.90","274.50","260.10","264.00","272.50","270.80","267.49","1,778.70","160.60",3062537,"819,212,241.40",25110
"09-Nov-2017","EQ","265.00","265.00","259.10","262.45","264.30","264.00","262.56","1,778.70","160.60",2293798,"602,266,224.45",16323
"08-Nov-2017","EQ","265.35","266.95","260.15","264.05","264.00","262.45","263.46","1,778.70","160.60",2332066,"614,397,234.50",19771
"07-Nov-2017","EQ","269.05","270.65","260.50","268.00","264.50","264.05","265.67","1,778.70","160.60",2538762,"674,464,732.60",23318
"06-Nov-2017","EQ","264.40","272.00","262.05","266.60","267.85","268.00","265.41","1,778.70","160.60",2518798,"668,519,046.10",28836
"03-Nov-2017","EQ","267.00","268.50","263.55","266.20","266.60","266.60","266.03","1,778.70","160.60",1805553,"480,331,361.05",29904
"02-Nov-2017","EQ","264.75","268.65","262.00","264.75","267.75","266.20","264.20","1,778.70","160.60",1850517,"488,899,620.50",21596
"01-Nov-2017","EQ","265.00","266.85","260.95","258.45","265.20","264.75","263.72","1,778.70","160.60",4308393,"1,136,225,405.55",33267
